[0201/061812.758:INFO:CONSOLE:6] "Uncaught ReferenceError: sj_evt is not defined", source: https://www.bing.com/ (6)
[0201/061813.645:INFO:CONSOLE:87] "Permissions policy violation: unload is not allowed in this document.", source: https://assets.msn.com/bundles/v1/bingHomepage/latest/microsoft.cee969d2411a30c2a80a.js (87)
[0201/061813.645:INFO:CONSOLE:87] "Permissions policy violation: unload is not allowed in this document.", source: https://assets.msn.com/bundles/v1/bingHomepage/latest/microsoft.cee969d2411a30c2a80a.js (87)
[0201/061816.371:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061817.152:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061842.473:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061842.590:INFO:CONSOLE:10] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (10)
[0201/061842.590:INFO:CONSOLE:10] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (10)
[0201/061842.591:INFO:CONSOLE:10] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (10)
[0201/061842.591:INFO:CONSOLE:10] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (10)
[0201/061842.591:INFO:CONSOLE:10] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (10)
[0201/061843.644:INFO:CONSOLE:0] "[GroupMarkerNotSet(crbug.com/242999)!:A8A01800245E0000]Automatic fallback to software WebGL has been deprecated. Please use the --enable-unsafe-swiftshader (about:flags#enable-unsafe-swiftshader) flag to opt in to lower security guarantees for trusted content.", source: https://www.bing.com/search?q=border+2&qs=HS&sk=HS2&sc=10-0&cvid=7B5544B9A56D40BB9622F86B7FACB99C&FORM=QBLH&sp=3&lq=0 (0)
[0201/061845.021:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061846.441:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061846.996:INFO:CONSOLE:13] "Uncaught TypeError: Cannot read properties of null (reading 'appendChild')", source:  (13)
[0201/061854.787:INFO:CONSOLE:5] "The stream mediawiki.client.session_tick is out of sample. No event will be sent", source: https://en.wikipedia.org/w/load.php?lang=en&modules=ext.eventLogging.metricsPlatform&skin=vector-2022&version=1i3oh (5)
[0201/061854.787:INFO:CONSOLE:5] "The stream mediawiki.client.session_tick is out of sample. No event will be sent", source: https://en.wikipedia.org/w/load.php?lang=en&modules=ext.eventLogging.metricsPlatform&skin=vector-2022&version=1i3oh (5)
[0201/061854.802:INFO:CONSOLE:5] "The stream mediawiki.web_ui_actions is out of sample. No event will be sent", source: https://en.wikipedia.org/w/load.php?lang=en&modules=ext.eventLogging.metricsPlatform&skin=vector-2022&version=1i3oh (5)
[0201/061954.790:INFO:CONSOLE:5] "The stream mediawiki.client.session_tick is out of sample. No event will be sent", source: https://en.wikipedia.org/w/load.php?lang=en&modules=ext.eventLogging.metricsPlatform&skin=vector-2022&version=1i3oh (5)
